Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,Daily_Return,Volatility,Close_Scaled,MA20_Scaled
2023-08-21,1205.0,1224.0,1204.349976,1218.849976,1183.91626,1175945,,,,,0.21577631312255674,
2023-08-22,1218.849976,1223.0,1209.25,1213.199951,1178.428223,1003208,,,-0.004635537688192026,,0.20398577860817646,
2023-08-23,1213.199951,1218.849976,1199.199951,1201.0,1166.577881,1569035,,,-0.010056010132496351,,0.17852678624278928,
2023-08-24,1206.199951,1216.5,1196.699951,1199.099976,1164.7323,1218843,,,-0.0015820349708576265,,0.17456179519405035,
2023-08-25,1190.0,1197.199951,1178.449951,1189.5,1155.407593,1213340,,,-0.008005984648606135,,0.15452845934770965,
2023-08-28,1189.550049,1196.300049,1182.300049,1184.75,1150.793579,950013,,,-0.003993274485077802,,0.14461610693452442,
2023-08-29,1192.400024,1207.900024,1188.25,1198.0,1163.663818,1419344,,,0.011183794049377527,,0.17226635313972505,
2023-08-30,1207.949951,1221.599976,1194.550049,1197.199951,1162.886719,2016339,,,-0.000667820534223651,0.006899708702092978,0.1705968020585007,
2023-08-31,1199.0,1214.5,1198.0,1201.949951,1167.50061,2817747,,,0.003967591208162258,0.007222223619297341,0.18050915447168547,
2023-09-01,1205.0,1229.900024,1204.050049,1228.050049,1192.852661,1686038,,,0.021714796009838055,0.01018386213370584,0.2349751269758258,
2023-09-04,1235.0,1266.0,1225.550049,1256.75,1220.730103,3466873,,,0.023370343108874536,0.012354134033280707,0.2948665014080665,
2023-09-05,1258.75,1266.599976,1248.650024,1254.550049,1218.59314,2199985,,,-0.0017505080564950148,0.011284991822907847,0.2902756193862266,
2023-09-06,1254.550049,1259.599976,1235.849976,1248.949951,1213.153564,1753376,,,-0.004463829884239101,0.011367282042834794,0.2785892730863586,
2023-09-07,1248.949951,1274.849976,1238.650024,1269.25,1232.871704,2554884,,,0.016253692939213638,0.011785851972199765,0.3209516393375007,
2023-09-08,1272.0,1278.0,1259.050049,1262.949951,1226.752319,1731105,,,-0.004963599763639914,0.01242779720114643,0.3078046275673252,
2023-09-11,1265.0,1275.0,1263.5,1268.849976,1232.483276,1293853,,,0.0046716221773699385,0.012395054710842303,0.32011686484029367,
2023-09-12,1271.800049,1283.800049,1251.550049,1266.0,1229.714844,2335224,,,-0.0022461095116890206,0.011170653530020933,0.3141695034758478,
2023-09-13,1260.300049,1268.75,1253.900024,1260.400024,1224.275513,1204376,,,-0.004423361769352319,0.007712454705372529,0.30248341176692595,
2023-09-14,1262.0,1289.349976,1262.0,1279.849976,1243.167969,3288631,,,0.015431570636022185,0.00943995106478047,0.343071786218196,
2023-09-15,1278.199951,1303.699951,1274.0,1300.050049,1262.789063,4316210,1234.9599915000001,,0.015783156915885277,0.009900289180871418,0.3852255214493674,0.24157275339166473
2023-09-18,1301.0,1302.0,1283.0,1289.800049,1252.832764,1967717,1238.5074951499998,,-0.007884311844674197,0.009850539065214606,0.36383570834723145,0.25106154548691606
2023-09-20,1282.0,1289.150024,1269.050049,1274.349976,1237.825562,2843560,1241.5649964,,-0.011978657476388377,0.0110062697288665,0.33159432552924484,0.25923968892370297
2023-09-21,1275.949951,1296.0,1265.900024,1291.650024,1254.629761,2960250,1246.0974976,,0.01357558624068278,0.011931598682512106,0.36769625659051197,0.2713631328441286
2023-09-22,1290.050049,1320.0,1284.0,1305.349976,1267.937134,3252940,1251.4099976,,0.010606551113260254,0.012048424149357487,0.3962854675942422,0.2855729020168898
2023-09-25,1305.349976,1314.400024,1296.050049,1299.449951,1262.206177,2100302,1256.90749515,,-0.004519879808845939,0.01206031316917123,0.3839732303212733,0.3002774989511612
2023-09-26,1300.0,1303.050049,1279.150024,1282.300049,1245.547852,1141475,1261.7849976,,-0.013197816496743342,0.012552247089390837,0.34818462558957064,0.3133237453425166
2023-09-27,1269.949951,1293.900024,1264.0,1288.650024,1251.715698,1568115,1266.3174987999998,,0.004952019618927883,0.010888742801586263,0.36143582348744774,0.3254471892629418
2023-09-28,1274.050049,1274.050049,1222.0,1229.5,1194.260986,6570797,1267.9325012499999,,-0.045900766614970445,0.020239800951813172,0.23800090072189928,0.32976696564467245
2023-09-29,1224.0,1231.650024,1210.0,1222.800049,1187.753174,2861162,1268.9750061500001,,-0.005449329808865477,0.020102618412909962,0.22401936904546327,0.3325554369840562
2023-10-03,1220.599976,1230.699951,1212.550049,1216.199951,1181.342163,1622290,1268.38250125,,-0.005397528406543173,0.018264843041420977,0.2102462117112407,0.3309706166804829
2023-10-04,1210.0,1215.5,1186.050049,1205.0,1170.463257,2340603,1265.79500125,,-0.009208971757309392,0.016249792093599037,0.1868740303802081,0.32404962322457376
2023-10-05,1214.0,1223.949951,1199.5,1205.599976,1171.046021,2497613,1263.3474976,,0.0004979053941909228,0.016700382182161848,0.18812606691735612,0.3175030892168582
2023-10-06,1207.0,1223.0,1205.0,1216.900024,1182.022217,1446719,1261.7450012499999,,0.009372966344518341,0.01820995466069261,0.21170713177249434,0.31321676390228026
2023-10-09,1203.25,1227.75,1202.150024,1212.650024,1177.894043,1451064,1258.91500245,,-0.0034924808251955985,0.017529648717397175,0.20283818487648686,0.30564713948680966
2023-10-10,1215.199951,1231.449951,1213.0,1227.75,1192.561157,1503359,1257.1550049000002,,0.012452047747619543,0.008152407419607384,0.23434898141177873,0.30093953309996335
2023-10-11,1230.099976,1238.900024,1222.0,1231.599976,1196.300781,1622663,1255.2925049,,0.0031357980044797173,0.007867497123770032,0.24238315381057962,0.29595775520174783
2023-10-12,1232.0,1232.0,1189.300049,1198.75,1164.392334,2452842,1251.9300048999999,,-0.02667260201375643,0.013126024017464965,0.173831461415491,0.2869638071841645
2023-10-13,1187.0,1202.949951,1180.0,1194.099976,1159.87561,3266079,1248.6150025000002,,-0.003879060688216973,0.012787555331352651,0.16412774002227648,0.27809690480089033
2023-10-16,1195.300049,1198.25,1180.800049,1184.599976,1150.647949,2638043,1243.8525025,,-0.007955782757674168,0.01299506326708032,0.14430303519590648,0.26535826467189727
2023-10-17,1190.0,1203.0,1188.449951,1197.599976,1163.275391,1163897,1238.72999885,,0.010974168718031363,0.013249143340736997,0.171431578642518,0.25165669395130896
