Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,411.799988,417.350006,411.649994,414.600006,413.717682,3667130
2023-08-22,415.000000,418.100006,412.750000,417.100006,416.212372,3175120
2023-08-23,417.250000,417.950012,414.600006,415.250000,414.366302,3067117
2023-08-24,418.750000,420.000000,412.000000,412.700012,411.821747,2888478
2023-08-25,410.000000,411.299988,407.100006,409.700012,408.828125,3299255
2023-08-28,411.450012,412.450012,407.649994,408.049988,407.181610,1700987
2023-08-29,409.649994,411.899994,407.100006,408.100006,407.231506,1999281
2023-08-30,410.000000,410.200012,406.649994,407.200012,406.333435,2009091
2023-08-31,408.000000,410.000000,406.450012,408.399994,407.530853,11030976
2023-09-01,407.950012,417.750000,407.500000,416.350006,415.463959,4238065
2023-09-04,418.000000,436.500000,416.000000,434.100006,433.176178,13817324
2023-09-05,435.799988,437.500000,430.299988,431.850006,430.930969,8986713
2023-09-06,433.750000,435.549988,425.899994,429.299988,428.386383,6765956
2023-09-07,429.950012,433.700012,426.750000,432.850006,431.928833,4661325
2023-09-08,433.450012,433.450012,429.299988,430.000000,429.084900,2874205
2023-09-11,433.000000,437.500000,430.100006,434.850006,433.924591,4126657
2023-09-12,437.100006,441.500000,426.899994,435.000000,434.074280,7272664
2023-09-13,434.950012,437.950012,431.500000,435.700012,434.772797,3722835
2023-09-14,438.399994,443.250000,435.299988,436.450012,435.521179,7447505
2023-09-15,439.799988,443.750000,438.250000,441.049988,440.111389,9917938
2023-09-18,441.049988,441.049988,435.200012,436.100006,435.171936,3012598
2023-09-20,434.250000,436.850006,429.049988,430.100006,429.184692,4551350
2023-09-21,429.899994,431.250000,423.049988,428.950012,428.037140,4446535
2023-09-22,424.399994,426.750000,416.600006,418.500000,417.609375,9909130
2023-09-25,418.500000,419.750000,412.000000,414.100006,413.218750,4650566
2023-09-26,416.799988,416.799988,411.700012,412.899994,412.021301,3240283
2023-09-27,412.250000,416.549988,410.299988,415.649994,414.765442,3886997
2023-09-28,416.500000,416.500000,404.000000,405.350006,404.487366,8438058
2023-09-29,405.000000,409.250000,401.500000,406.049988,405.185852,6390136
2023-10-03,406.450012,408.100006,403.600006,405.450012,404.587158,2864052
2023-10-04,402.700012,405.450012,400.649994,404.899994,404.038330,3452935
2023-10-05,407.950012,410.399994,405.000000,406.799988,405.934265,4062652
2023-10-06,408.000000,409.799988,406.950012,407.850006,406.982056,3182502
2023-10-09,404.200012,411.000000,403.399994,405.600006,404.736847,3015225
2023-10-10,406.399994,408.750000,406.200012,407.750000,406.882263,2564007
2023-10-11,409.000000,423.950012,409.000000,421.149994,420.253723,9546114
2023-10-12,421.750000,421.899994,414.700012,417.100006,416.212372,5117199
2023-10-13,411.899994,414.399994,409.049988,411.049988,410.175232,5457027
2023-10-16,411.000000,411.899994,408.149994,410.200012,409.327057,2638826
2023-10-17,411.700012,413.850006,411.049988,411.399994,410.524475,2989694
2023-10-18,409.000000,413.649994,407.000000,407.450012,406.582916,2440533
2023-10-19,391.950012,396.750000,390.100006,395.299988,394.458740,12814551
2023-10-20,395.049988,396.049988,391.000000,391.850006,391.016113,4214668
2023-10-23,390.850006,393.000000,382.200012,383.149994,382.334595,4418913
2023-10-25,384.399994,387.700012,381.100006,381.850006,381.037384,3339147
2023-10-26,378.799988,380.549988,375.049988,378.250000,377.445038,5497791
