Date,Open,High,Low,Close,Adj Close,Volume
2023-10-18,1278.000000,1281.500000,1267.400024,1269.449951,1221.905884,1743126
2023-10-19,1266.800049,1274.750000,1264.900024,1267.349976,1219.884521,2279726
2023-10-20,1252.000000,1261.349976,1245.449951,1258.599976,1223.042725,1625449
2023-10-23,1248.000000,1260.500000,1232.300049,1236.650024,1201.712891,1646367
2023-10-25,1231.199951,1252.900024,1225.300049,1229.000000,1194.278931,1420065
2023-10-26,1215.000000,1238.199951,1212.050049,1231.800049,1196.999878,4617424
2023-10-27,1237.000000,1270.000000,1233.449951,1268.699951,1232.857300,2675348
2023-10-30,1270.000000,1274.800049,1256.000000,1264.750000,1229.019043,1158770
2023-10-31,1272.000000,1279.849976,1256.699951,1276.000000,1239.951172,2525870
2023-11-01,1280.000000,1285.949951,1255.300049,1258.949951,1223.382813,1572719
2023-11-02,1266.000000,1275.000000,1265.000000,1273.400024,1237.424683,1368604
2023-11-03,1282.599976,1287.300049,1263.000000,1266.250000,1230.476563,2052536
2023-11-06,1276.250000,1279.500000,1265.150024,1269.699951,1233.829224,1175823
2023-11-07,1269.000000,1277.699951,1267.099976,1273.949951,1237.958984,1385282
2023-11-08,1280.000000,1280.800049,1265.900024,1267.650024,1231.837158,937671
2023-11-09,1267.650024,1275.800049,1261.800049,1267.500000,1231.691406,1483749
2023-11-10,1262.300049,1271.000000,1250.650024,1255.449951,1219.981567,1469902
2023-11-13,1260.000000,1263.599976,1253.300049,1261.000000,1225.374878,730991
2023-11-15,1275.000000,1283.000000,1268.400024,1276.650024,1240.582886,2410620
2023-11-16,1283.800049,1317.949951,1278.000000,1311.050049,1274.011108,3936945
2023-11-17,1313.400024,1325.750000,1306.400024,1309.150024,1272.164795,2882039
2023-11-20,1314.949951,1331.699951,1314.000000,1325.400024,1287.955688,2831858
2023-11-21,1335.599976,1336.000000,1321.800049,1326.599976,1289.121582,1514256
2023-11-22,1326.599976,1335.750000,1320.400024,1329.699951,1292.134033,1535630
2023-11-23,1333.949951,1335.250000,1325.699951,1329.000000,1291.453857,1307344
2023-11-24,1328.900024,1332.650024,1305.650024,1309.150024,1272.164795,1795933
2023-11-28,1309.150024,1319.900024,1295.300049,1316.650024,1279.452759,2152951
2023-11-29,1324.000000,1338.800049,1321.500000,1333.949951,1296.263916,1835524
2023-11-30,1337.000000,1346.800049,1329.699951,1340.900024,1303.017700,4104385
2023-12-01,1346.000000,1349.000000,1328.000000,1336.699951,1298.936279,1854324
2023-12-04,1350.000000,1350.000000,1331.000000,1337.949951,1300.151001,1547057
2023-12-05,1347.000000,1347.000000,1308.300049,1317.550049,1280.327393,3932040
2023-12-06,1325.000000,1339.949951,1319.550049,1329.550049,1291.988281,2077245
2023-12-07,1331.000000,1337.000000,1325.349976,1328.000000,1290.482178,1985003
2023-12-08,1333.000000,1369.949951,1329.000000,1364.099976,1325.562256,4509751
2023-12-11,1370.099976,1383.000000,1366.050049,1375.300049,1336.445801,2824656
2023-12-12,1377.000000,1387.000000,1370.000000,1375.300049,1336.445801,2730422
2023-12-13,1379.349976,1382.800049,1357.050049,1369.199951,1330.518066,1896931
2023-12-14,1391.000000,1419.250000,1382.000000,1414.599976,1374.635498,5145574
2023-12-15,1422.000000,1497.000000,1422.000000,1491.300049,1449.168701,7374290
2023-12-18,1489.849976,1509.900024,1481.000000,1504.300049,1461.801392,3075527
2023-12-19,1501.500000,1504.650024,1477.699951,1488.300049,1446.253418,2590417
2023-12-20,1485.000000,1503.050049,1435.000000,1439.949951,1399.269287,4368383
2023-12-21,1421.150024,1447.050049,1420.099976,1422.050049,1381.875122,2841508
2023-12-22,1431.000000,1467.349976,1423.000000,1462.699951,1421.376587,2303438
2023-12-26,1462.699951,1467.349976,1442.150024,1458.150024,1416.955200,1363265
2023-12-27,1465.449951,1476.000000,1457.550049,1472.050049,1430.462646,1402329
2023-12-28,1470.599976,1482.699951,1468.449951,1472.449951,1430.851196,1928616
2023-12-29,1473.949951,1481.849976,1457.550049,1466.099976,1424.680542,1481617
2024-01-01,1460.000000,1495.750000,1455.050049,1483.750000,1441.831909,1222315
2024-01-02,1484.050049,1488.800049,1461.349976,1469.550049,1428.033203,1440888
2024-01-03,1460.000000,1465.000000,1435.500000,1437.750000,1397.131470,1651716
2024-01-04,1437.000000,1444.800049,1417.150024,1419.949951,1379.834229,3392241
2024-01-05,1425.000000,1438.849976,1421.900024,1432.800049,1392.321289,1776925
2024-01-08,1435.000000,1452.599976,1430.550049,1447.900024,1406.994751,2025264
2024-01-09,1460.599976,1480.949951,1452.349976,1460.400024,1419.141724,3119270
2024-01-10,1474.900024,1508.000000,1466.050049,1492.099976,1449.946045,4368914
2024-01-11,1500.000000,1500.000000,1474.000000,1484.800049,1442.852295,2271368
