Date,Open,High,Low,Close,Adj Close,Volume
2023-11-30,1200.000000,1400.000000,1200.000000,1313.000000,1300.537720,46579440
2023-12-01,1339.300049,1348.000000,1211.599976,1220.599976,1209.014771,18681410
2023-12-04,1220.599976,1234.000000,1151.150024,1192.650024,1181.330078,14740750
2023-12-05,1192.650024,1221.949951,1175.000000,1191.849976,1180.537598,4422358
2023-12-06,1202.000000,1207.449951,1181.000000,1188.500000,1177.219360,2735968
2023-12-07,1192.949951,1199.000000,1180.000000,1185.699951,1174.445923,1624651
2023-12-08,1189.000000,1219.699951,1188.250000,1192.550049,1181.231079,2528210
2023-12-11,1199.000000,1269.699951,1193.000000,1237.349976,1225.605713,8017469
2023-12-12,1254.000000,1263.050049,1230.000000,1233.250000,1221.544678,2426780
2023-12-13,1244.000000,1284.800049,1236.150024,1250.349976,1238.482300,4281933
2023-12-14,1270.000000,1275.000000,1240.150024,1243.300049,1231.499390,1992554
2023-12-15,1255.949951,1256.699951,1240.000000,1242.199951,1230.409668,1239743
2023-12-18,1245.650024,1249.150024,1225.599976,1229.250000,1217.582642,1000620
2023-12-19,1233.000000,1259.800049,1224.599976,1241.550049,1229.765991,2086748
2023-12-20,1247.900024,1248.750000,1198.000000,1201.150024,1189.749390,1604663
2023-12-21,1165.250000,1218.599976,1165.250000,1208.900024,1197.425781,1504596
2023-12-22,1214.699951,1222.500000,1205.000000,1208.750000,1197.277222,701235
2023-12-26,1210.000000,1217.949951,1200.500000,1202.750000,1191.334106,575200
2023-12-27,1208.000000,1212.900024,1196.199951,1199.599976,1188.213989,656321
2023-12-28,1200.000000,1201.849976,1169.000000,1175.949951,1164.788452,1913710
2023-12-29,1180.000000,1188.000000,1170.449951,1180.150024,1168.948730,974333
2024-01-01,1184.000000,1197.900024,1180.000000,1180.449951,1169.245728,794228
2024-01-02,1184.000000,1188.900024,1177.000000,1181.949951,1170.731567,720393
2024-01-03,1180.000000,1185.000000,1168.000000,1172.050049,1160.925659,937005
2024-01-04,1175.000000,1181.550049,1169.449951,1171.349976,1160.232178,706442
2024-01-05,1173.500000,1179.349976,1170.000000,1171.349976,1160.232178,824122
2024-01-08,1174.699951,1179.000000,1168.599976,1171.500000,1160.380737,475513
2024-01-09,1178.099976,1179.000000,1165.000000,1166.849976,1155.774902,733601
2024-01-10,1170.099976,1170.099976,1156.000000,1163.250000,1152.209106,626896
2024-01-11,1167.949951,1169.000000,1158.000000,1159.599976,1148.593750,636047
2024-01-12,1163.699951,1202.000000,1160.099976,1167.449951,1156.369141,2470848
2024-01-15,1180.000000,1184.900024,1169.150024,1171.750000,1160.628418,757174
2024-01-16,1171.900024,1171.900024,1160.000000,1163.300049,1152.258667,729567
2024-01-17,1157.900024,1166.400024,1153.250000,1156.500000,1145.523193,718624
2024-01-18,null,null,null,null,null,null
2024-01-19,1157.000000,1157.000000,1140.000000,1140.650024,1129.823608,835628
2024-01-23,1162.199951,1163.500000,1140.000000,1142.400024,1131.557007,571921
2024-01-24,1149.000000,1153.900024,1139.500000,1142.550049,1131.705566,469822
2024-01-25,1146.000000,1151.550049,1138.500000,1144.550049,1133.686646,556575
2024-01-29,1161.000000,1163.000000,1137.000000,1138.599976,1127.792969,1043648
2024-01-30,1141.500000,1144.000000,1118.099976,1120.849976,1110.211548,1123701
2024-01-31,1124.699951,1124.699951,1108.800049,1111.400024,1100.851196,780688
2024-02-01,1119.000000,1119.000000,1094.099976,1098.500000,1088.073608,1090740
2024-02-02,1101.050049,1106.000000,1088.050049,1098.300049,1087.875610,873712
2024-02-05,1101.050049,1102.400024,1080.000000,1081.750000,1071.482666,845963
2024-02-06,1082.500000,1163.550049,1071.050049,1130.250000,1119.522339,3429953
2024-02-07,1148.300049,1148.750000,1109.349976,1113.900024,1103.327515,999988
2024-02-08,1122.800049,1135.900024,1106.349976,1113.849976,1103.277954,736687
2024-02-09,1116.400024,1154.400024,1098.699951,1130.300049,1119.571899,1238596
2024-02-12,1134.000000,1137.000000,1106.000000,1110.400024,1099.860718,618737
2024-02-13,1120.000000,1120.000000,1084.599976,1104.449951,1093.967163,585320
2024-02-14,1093.000000,1120.000000,1089.250000,1106.800049,1096.294922,443941
2024-02-15,1112.949951,1119.800049,1100.849976,1107.099976,1096.592041,372945
2024-02-16,1111.699951,1113.949951,1101.050049,1105.849976,1095.353882,377791
2024-02-19,1108.699951,1133.050049,1107.250000,1123.250000,1112.588745,697681
2024-02-20,1123.750000,1167.699951,1121.000000,1152.650024,1141.709717,1872013
2024-02-21,1165.000000,1170.000000,1138.250000,1154.400024,1143.443115,1186147
2024-02-22,1159.949951,1165.050049,1142.199951,1156.750000,1145.770752,552410
2024-02-23,1161.699951,1179.000000,1156.250000,1160.500000,1149.485229,942660
2024-02-26,1160.500000,1161.000000,1096.250000,1098.699951,1088.271729,2759041
2024-02-27,1103.949951,1110.099976,1073.550049,1075.750000,1065.539551,1589007
2024-02-28,1080.000000,1086.500000,1043.000000,1045.949951,1036.022339,1801058
2024-02-29,1044.949951,1095.000000,1033.099976,1083.400024,1073.116943,2111686
2024-03-01,1097.650024,1105.000000,1086.099976,1088.400024,1078.069580,718126
2024-03-04,1096.699951,1096.699951,1070.000000,1072.900024,1062.716675,573201
2024-03-05,1087.000000,1100.250000,1072.099976,1075.449951,1065.242432,1042769
2024-03-06,1075.449951,1076.199951,1058.000000,1069.150024,1059.002197,539700
2024-03-07,1070.250000,1146.449951,1070.250000,1127.400024,1116.699341,4509646
2024-03-11,1130.000000,1130.000000,1080.000000,1084.650024,1074.355103,1504557
2024-03-12,1086.949951,1092.250000,1063.699951,1066.849976,1056.723999,904060
2024-03-13,1082.050049,1097.000000,1020.000000,1037.449951,1027.603027,1631514
2024-03-14,1037.949951,1065.000000,1031.099976,1052.150024,1042.163574,962813
2024-03-15,1052.699951,1060.000000,1042.250000,1049.650024,1039.687378,706494
2024-03-18,1051.000000,1054.750000,1041.550049,1047.449951,1037.508179,521728
2024-03-19,1048.000000,1055.000000,1040.500000,1042.050049,1032.159546,391912
2024-03-20,1041.849976,1047.050049,1026.599976,1033.050049,1023.244934,689327
2024-03-21,1043.000000,1048.000000,1029.050049,1031.300049,1021.511536,783615
2024-03-22,1031.000000,1037.949951,1027.000000,1032.000000,1022.204834,593736
2024-03-26,1032.000000,1036.000000,1020.000000,1021.950012,1012.250244,870115
2024-03-27,1025.449951,1033.000000,1021.000000,1029.199951,1019.431335,988891
2024-03-28,1029.500000,1038.250000,1020.000000,1020.599976,1010.913025,886283
2024-04-01,1040.000000,1057.449951,1033.500000,1049.800049,1039.835938,957844
2024-04-02,1059.500000,1127.000000,1048.050049,1092.000000,1081.635376,5508984
2024-04-03,1104.699951,1146.000000,1058.400024,1134.150024,1123.385254,4906449
2024-04-04,1142.949951,1147.750000,1116.150024,1137.349976,1126.554932,2509059
2024-04-05,1133.000000,1137.949951,1116.000000,1121.650024,1111.003906,1309639
2024-04-08,1130.050049,1130.650024,1100.000000,1101.900024,1091.441406,999892
2024-04-09,1110.900024,1129.699951,1091.099976,1107.449951,1096.938599,4438421
2024-04-10,1110.000000,1118.000000,1098.099976,1101.900024,1091.441406,856601
2024-04-12,1099.949951,1107.400024,1088.900024,1090.349976,1080.000977,677949
2024-04-15,1062.000000,1074.300049,1050.349976,1065.449951,1055.337280,1068842
2024-04-16,1060.000000,1081.699951,1050.000000,1054.000000,1043.995972,1259361
2024-04-18,1068.000000,1071.650024,1047.050049,1049.250000,1039.291138,809389
2024-04-19,1040.000000,1045.250000,1033.050049,1040.650024,1030.772705,853013
2024-04-22,1053.550049,1063.300049,1043.550049,1051.699951,1041.717773,694127
2024-04-23,1055.000000,1094.699951,1053.900024,1082.449951,1072.175903,1233965
2024-04-24,1088.400024,1090.150024,1078.050049,1087.000000,1076.682861,659168
2024-04-25,1084.699951,1084.699951,1067.099976,1069.300049,1059.150879,729379
2024-04-26,1074.699951,1081.900024,1070.000000,1072.550049,1062.369995,403555
2024-04-29,1080.050049,1080.050049,1063.000000,1066.900024,1056.773560,689225
2024-04-30,1067.000000,1070.000000,1058.000000,1067.150024,1057.021240,566375
2024-05-02,1069.400024,1095.000000,1064.550049,1090.199951,1079.852417,1716282
2024-05-03,1100.000000,1109.800049,1076.000000,1086.800049,1076.484741,1612124
2024-05-06,1042.000000,1058.449951,1032.699951,1045.199951,1035.279541,1881524
2024-05-07,1050.000000,1055.449951,1025.050049,1039.449951,1029.584106,975627
2024-05-08,1040.000000,1044.750000,1028.000000,1029.300049,1019.530518,526737
2024-05-09,1034.400024,1036.150024,1012.000000,1015.349976,1005.712830,692890
2024-05-10,1019.349976,1022.799988,1006.049988,1009.650024,1000.067017,652741
2024-05-13,1014.349976,1026.849976,1005.000000,1021.000000,1011.309265,436398
2024-05-14,1029.849976,1063.099976,1022.150024,1058.150024,1048.106689,895977
2024-05-15,1058.000000,1061.099976,1048.000000,1050.650024,1040.677856,434399
2024-05-16,1056.400024,1062.150024,1046.000000,1049.000000,1039.043457,241264
2024-05-17,1053.000000,1053.500000,1044.000000,1046.400024,1036.468140,335954
2024-05-21,1058.000000,1060.800049,1048.699951,1051.699951,1041.717773,353873
2024-05-22,1059.900024,1061.800049,1050.099976,1053.050049,1043.055054,241610
2024-05-23,1054.800049,1059.800049,1048.250000,1049.849976,1039.885376,309616
2024-05-24,1050.750000,1109.849976,1049.000000,1084.449951,1074.156982,2240387
2024-05-27,1093.650024,1115.900024,1085.150024,1090.849976,1080.496216,1316522
2024-05-28,1078.000000,1087.849976,1063.000000,1065.949951,1055.832520,597485
2024-05-29,1057.000000,1072.300049,1051.000000,1052.500000,1042.510254,465777
2024-05-30,1052.500000,1067.300049,1045.050049,1049.949951,1039.984375,540209
2024-05-31,1049.050049,1056.000000,1023.799988,1030.199951,1020.421875,676794
2024-06-03,1070.000000,1070.000000,1034.150024,1035.500000,1025.671631,806191
2024-06-04,1035.500000,1037.500000,982.250000,1013.450012,1003.830933,1738234
2024-06-05,1027.000000,1033.550049,1000.099976,1029.800049,1020.025757,662401
2024-06-06,1043.000000,1061.000000,1036.300049,1048.650024,1038.696777,915629
2024-06-07,1056.949951,1071.050049,1050.000000,1061.400024,1051.325806,1001179
2024-06-10,1061.400024,1069.449951,1053.900024,1057.550049,1047.512329,689544
2024-06-11,1063.050049,1073.699951,1058.050049,1059.650024,1049.592407,854848
2024-06-12,1063.000000,1067.449951,1055.000000,1058.849976,1048.799927,840937
2024-06-13,1058.000000,1063.000000,1046.500000,1049.050049,1049.050049,959539
2024-06-14,1049.050049,1049.500000,1036.849976,1037.650024,1037.650024,1146052
2024-06-18,1040.400024,1042.000000,1027.949951,1029.599976,1029.599976,1188441
2024-06-19,1040.000000,1043.900024,1021.000000,1027.500000,1027.500000,1124383
2024-06-20,1027.349976,1027.349976,1004.250000,1010.349976,1010.349976,2391725
2024-06-21,1010.349976,1013.900024,982.650024,992.250000,992.250000,7044016
2024-06-24,992.250000,1006.950012,989.750000,999.650024,999.650024,1093347
2024-06-25,1004.000000,1007.000000,1000.000000,1000.950012,1000.950012,468341
2024-06-26,1004.000000,1010.000000,1000.349976,1003.549988,1003.549988,512833
2024-06-27,1005.000000,1026.500000,1003.000000,1017.250000,1017.250000,1343843
2024-06-28,1019.200012,1027.900024,1017.250000,1021.950012,1021.950012,744581
2024-07-01,1023.299988,1029.500000,1012.000000,1014.849976,1014.849976,627199
2024-07-02,1014.849976,1019.099976,1006.750000,1009.599976,1009.599976,433251
2024-07-03,1014.250000,1014.299988,1008.150024,1009.750000,1009.750000,409471
2024-07-04,1013.349976,1013.349976,1006.200012,1009.000000,1009.000000,460871
2024-07-05,1012.950012,1019.000000,1009.049988,1010.349976,1010.349976,704826
2024-07-08,1014.849976,1015.750000,1003.000000,1004.549988,1004.549988,459742
2024-07-09,1004.549988,1024.599976,1004.500000,1012.299988,1012.299988,1004845
2024-07-10,1012.000000,1026.750000,1007.700012,1011.500000,1011.500000,902487
2024-07-11,1014.799988,1022.900024,1011.950012,1014.950012,1014.950012,693392
2024-07-12,1019.500000,1043.000000,1015.000000,1033.400024,1033.400024,2878465
2024-07-15,1040.000000,1043.900024,1022.000000,1025.349976,1025.349976,1098815
2024-07-16,1027.349976,1033.000000,1012.250000,1015.250000,1015.250000,802135
2024-07-18,1019.250000,1020.000000,1008.000000,1009.150024,1009.150024,655960
2024-07-19,998.000000,1005.799988,990.000000,997.200012,997.200012,1176579
2024-07-22,997.200012,998.000000,990.500000,992.700012,992.700012,594894
2024-07-23,995.000000,1007.000000,983.000000,996.650024,996.650024,761466
2024-07-24,995.000000,1007.650024,994.000000,997.250000,997.250000,366520
2024-07-25,996.000000,1002.000000,994.000000,999.549988,999.549988,382077
2024-07-26,1000.000000,1004.000000,997.099976,999.000000,999.000000,736307
2024-07-29,1002.000000,1007.349976,999.049988,1000.500000,1000.500000,400954
2024-07-30,1004.500000,1004.500000,998.000000,999.049988,999.049988,434066
2024-07-31,1000.000000,1004.000000,998.950012,999.349976,999.349976,323172
2024-08-01,1001.000000,1004.000000,994.000000,995.400024,995.400024,578837
2024-08-02,993.000000,997.200012,990.799988,992.000000,992.000000,355341
2024-08-05,981.000000,985.500000,970.099976,976.299988,976.299988,1058840
2024-08-06,976.250000,993.950012,976.000000,983.049988,983.049988,656501
2024-08-07,990.000000,1001.950012,983.099976,999.150024,999.150024,564967
2024-08-08,1000.000000,1004.299988,992.200012,998.799988,998.799988,445571
2024-08-09,1004.700012,1009.950012,987.500000,989.650024,989.650024,391532
2024-08-12,985.000000,994.900024,980.349976,993.099976,993.099976,386111
2024-08-13,993.000000,996.900024,988.000000,994.450012,994.450012,438966
2024-08-14,994.049988,996.000000,980.000000,992.400024,992.400024,347203
2024-08-16,994.950012,1012.000000,993.150024,999.049988,999.049988,1201484
2024-08-19,1007.349976,1007.349976,996.000000,998.700012,998.700012,344295
